attitude_max_roll,attitude_max_pitch,attitude_max_yaw,gravity_max_x,gravity_max_y,gravity_max_z,rotationRate_max_x,rotationRate_max_y,rotationRate_max_z,userAcceleration_max_x,userAcceleration_max_y,userAcceleration_max_z,attitude_sum_roll,attitude_sum_pitch,attitude_sum_yaw,gravity_sum_x,gravity_sum_y,gravity_sum_z,rotationRate_sum_x,rotationRate_sum_y,rotationRate_sum_z,userAcceleration_sum_x,userAcceleration_sum_y,attitude_min_roll,attitude_min_pitch,attitude_min_yaw,gravity_min_x,gravity_min_y,gravity_min_z,rotationRate_min_x,rotationRate_min_y,rotationRate_min_z,userAcceleration_min_x,userAcceleration_min_y,userAcceleration_min_z,attitude_sumSS_roll,attitude_sumSS_pitch,attitude_sumSS_yaw,gravity_sumSS_x,gravity_sumSS_y,gravity_sumSS_z,rotationRate_sumSS_x,rotationRate_sumSS_y,rotationRate_sumSS_z,userAcceleration_sumSS_x,userAcceleration_sumSS_y,userAcceleration_sumSS_z,attitude_std_roll,attitude_std_pitch,attitude_std_yaw,gravity_std_x,gravity_std_y,gravity_std_z,rotationRate_std_x,rotationRate_std_y,rotationRate_std_z,userAcceleration_std_x,userAcceleration_std_y,attitude_skew_pitch,attitude_skew_roll,attitude_skew_yaw,gravity_skew_x,gravity_skew_y,gravity_skew_z,rotationRate_skew_x,rotationRate_skew_y,rotationRate_skew_z,userAcceleration_skew_x,Activities_Types
-0.260706,-0.949844,0.101456,-0.130705,0.977622,0.159851,3.80665,2.494383,1.297137,0.704614,1.92571,2.159354,-0.90195826,-1.202058955,-0.543178795,-0.243114405,0.926369605,-0.21351978,0.07646058,-0.221763435,0.00028846,0.018257305,0.08240588,-1.932896,-1.358845,-1.235406,-0.495822,0.813324,-0.546295,-2.682702,-2.71557,-1.788511,-0.827505,-0.65359,-1.075514,0.766158843,1.473228372,0.353575702,0.044671585,0.877853021,0.036377797,0.686334375,0.315358411,0.113702338,0.021059848,0.074910991,0.070657873,0.412355375,0.118045528,0.336135609,0.082726651,0.045255821,0.168628317,1.427620274,0.85815987,0.493875649,0.224710351,0.456820819,0.399869089,-0.700211756,0.026645162,-1.356529119,-0.720105476,-0.025586684,0.562509779,-0.124437593,0.191213962,-0.313587847,0
-0.266764,0.088614,-1.649702,-0.262692,-0.080131,-0.960052,0.015544,0.009947,0.015132,0.017679,0.019388,-0.00322,-0.26855982,0.0847085,-1.65199151,-0.2643907,-0.08460696,-0.960693495,-0.000696745,0.000212895,-8.07E-05,0.01135026,0.0137724,-0.269776,0.080217,-1.653387,-0.265471,-0.088498,-0.961267,-0.013916,-0.00756,-0.012937,0.006014,0.008284,-0.011306,0.072124474,0.007204869,2.729946585,0.069896784,0.007187564,0.92295794,2.81E-05,4.38E-06,7.44E-06,0.00012351,0.000190164,3.86E-05,0.00065861,0.00253553,0.00090708,0.000610008,0.002526518,0.000322656,0.006781102,0.003195395,0.004555549,0.002032802,0.002297265,-0.304215092,0.451323803,0.728436155,0.552988424,0.304540468,0.179942137,0.408432583,-0.228947253,-0.010746137,0.189783401,5
0.132448,-0.18227,-0.205782,0.129861,0.182733,-0.974632,0.005517,0.006082,0.007289,0.03038,0.026791,0.005723,0.13187209,-0.18295866,-0.20637377,0.129295515,0.18193962,-0.97477148,-0.00010668,-0.00023052,0.000147775,0.023372005,0.019287635,0.131425,-0.183765,-0.207048,0.128854,0.181262,-0.974948,-0.008271,-0.007824,-0.007775,0.019321,0.01383,-0.003061,0.017392466,0.033446375,0.042580529,0.016717326,0.03307506,0.950161931,1.45E-06,1.96E-06,1.69E-06,0.000540935,0.000369755,2.28E-06,0.000283201,0.000422698,0.000314642,0.000277498,0.000415622,8.05E-05,0.002027263,0.00223314,0.002214325,0.001606645,0.001725406,-0.1412526,0.176693408,-0.281489696,0.182299405,0.141352759,-0.348062336,-0.488141942,0.209474657,-0.46132052,0.606590417,5
-1.929871,-1.24558,-1.752706,-0.285571,0.952328,0.125932,0.030842,0.123438,0.0202,0.015011,0.019795,0.050582,-1.950014225,-1.254072955,-1.769560845,-0.289265485,0.95025399,0.11530817,0.003300515,0.00614936,0.002887595,-0.009933805,-0.001651965,-1.977706,-1.260778,-1.7822,-0.294882,0.947582,0.107188,-0.050642,-0.103521,-0.025547,-0.039233,-0.018843,-0.014791,3.797468715,1.575646286,3.130088101,0.083386092,0.903690743,0.012973894,6.49E-05,0.000182791,1.02E-05,0.000104988,1.09E-05,0.000425949,0.010668565,0.00386275,0.005255802,0.002501488,0.001208523,0.004288415,0.012175401,0.029533399,0.006715952,0.008451852,0.005229626,0.775521443,-0.838525308,0.01264841,-0.649290643,-0.79164263,0.886446145,-1.204038101,1.184112209,-0.461304407,-0.259792427,1
-1.480547,-1.298988,-1.721345,-0.136811,0.990281,0.211217,0.481437,0.679624,0.252435,0.24203,0.20842,0.22183,-2.107006105,-1.35200695,-2.28518935,-0.175438695,0.97564846,0.108364845,-0.027995565,-0.06085788,0.00527446,0.003478235,0.00400578,-2.476479,-1.431263,-2.624783,-0.247407,0.963287,-0.022286,-0.802106,-0.995245,-0.347292,-0.170238,-0.099508,-0.196675,5.023459217,1.797617463,5.714798634,0.028354363,0.948006017,0.016368175,0.026009188,0.012377165,0.00394271,0.001312255,0.000314387,0.000557897,0.31008858,0.032448505,0.286021915,0.029885283,0.006533584,0.068264483,0.237303519,0.220002339,0.091826742,0.067468348,0.036814829,-1.037368687,0.843938983,0.727989573,-1.020730454,0.775678013,-0.569035702,-0.563549585,-0.380351221,-0.122840114,0.782170626,1
1.964821,-1.024354,-1.569578,0.486056,0.867164,0.196586,0.124665,0.193604,0.072432,0.0645,-0.005555,0.134716,1.93952822,-1.036817925,-1.64834245,0.474542,0.86076196,0.183407025,0.012477705,0.00735207,0.000956895,0.02061217,-0.035685215,1.911608,-1.049479,-1.721781,0.463544,0.854379,0.168206,-0.185171,-0.323232,-0.083892,-0.021753,-0.057984,0.058068,3.7525385,1.070739671,2.734741892,0.225486798,0.739157174,0.033075608,0.001411605,0.0083111,0.000299567,0.000459811,0.001354944,0.009220513,0.014393475,0.007950902,0.036931869,0.005870528,0.0040417,0.008135564,0.058005349,0.122782197,0.028966785,0.017050133,0.009977868,-0.186471814,0.082168605,0.191294921,-0.013500677,0.173924672,0.115381163,-1.304314856,-0.87799739,-0.769565433,-0.026194638,1
-2.245004,-1.22017,-1.501141,-0.259246,0.942164,0.221113,0.044809,0.083833,0.020643,0.029462,0.030194,0.012149,-2.254683475,-1.22610003,-1.522914245,-0.261917915,0.94117589,0.21349137,0.001030425,0.00369015,0.000887605,0.01656077,0.00791676,-2.270165,-1.229029,-1.535943,-0.265295,0.939158,0.211642,-0.040919,-0.038853,-0.014471,0.006382,-0.002003,-0.043104,5.086319453,1.50640766,2.333497601,0.068101426,0.88661621,0.045296396,1.94E-05,0.000123041,1.95E-05,0.000266245,5.79E-05,1.36E-05,0.004354518,0.0021966,0.010173011,0.00189972,0.000743768,0.001687351,0.010447673,0.017779471,0.006384106,0.003562323,0.00462803,0.678113645,-0.104053189,0.67692817,-0.386982404,-0.68522773,2.273694827,0.555568844,0.861477418,0.041449062,0.349646574,1
-0.062808,-0.742104,-0.566773,-0.039522,0.991415,0.043907,4.632237,7.034838,1.541716,0.676205,3.321037,3.100904,-0.58645025,-1.089921695,-1.164107325,-0.155165425,0.863505405,-0.39175888,0.01367767,0.05152297,0.020137735,0.029274125,0.20005495,-1.794117,-1.439667,-2.552861,-0.232362,0.67584,-0.719755,-4.268692,-3.522234,-2.256891,-1.446027,-2.419673,-1.795845,0.111438167,1.149806043,0.851584839,0.027697115,0.771405911,0.215187536,4.074703737,1.621342113,0.31621641,0.046871145,0.208802352,0.200799235,0.519235406,0.228925136,0.619783676,0.04796943,0.102760359,0.253610508,2.337346212,2.139115584,0.757772737,0.347423885,0.785385754,-0.131712181,-1.273298834,-1.120892795,0.562520188,-0.189487281,0.461685341,0.122446192,1.02822062,-0.630666696,-1.060704406,4
3.087693,-0.885338,3.136211,0.293959,0.99992,0.193418,7.348013,6.009167,2.952616,1.410257,5.355683,1.096343,-0.265874365,-1.211122795,-0.28084737,0.09022621,0.916478965,-0.24631847,0.154252275,0.051210705,-0.07883678,0.03835707,0.08490643,-3.083605,-1.558172,-3.130712,-0.15588,0.774129,-0.605708,-4.051,-4.645219,-4.793655,-1.865317,-1.611619,-0.918484,0.264436702,1.392132447,0.065726197,0.017823723,0.854815106,0.112153659,4.173688102,2.021879749,2.221938217,0.163914651,0.831514875,0.091689172,1.35829526,0.20513041,1.479277468,0.127023765,0.071171646,0.265538636,2.907715898,2.194219005,1.809027976,0.580250692,1.432766453,-0.090132667,-0.775688246,-0.41101251,-0.31394406,-0.356281579,0.321071517,0.670919789,0.478817584,-0.490094815,0.010976448,2
-2.072227,-0.430606,-0.01171,-0.794979,0.41946,0.438688,0.021349,0.020534,0.009933,0.020405,0.011235,0.021314,-2.073753765,-0.43150464,-0.014804185,-0.79583823,0.418238,0.43782937,0.00123835,-0.00024893,-0.001208745,0.011754065,0.00336409,-2.074932,-0.432851,-0.017888,-0.796515,0.417422,0.436459,-0.009126,-0.01988,-0.014709,0.004914,-0.003463,0.000476,4.300457726,0.186173265,0.000214652,0.633428158,0.174902532,0.191699049,8.24E-06,7.41E-06,8.23E-06,0.000133992,1.26E-05,0.000130006,0.000485062,0.000469843,0.001449006,0.000327026,0.000426721,0.000354991,0.004469527,0.005581629,0.004511511,0.002574687,0.002897654,-0.680945718,0.284709264,-0.027429733,0.520626179,0.680169782,-0.850813343,0.631866501,-0.357240945,-0.453607468,0.321783843,5
